AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,detailed,"30,880",0.4,10.72,12.56,14.27,17.35,18.47,"22,290","26,120","29,690","36,100","38,420",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6040,Shoe and Leather Workers,broad,"32,950",2.2,10.76,13.08,14.31,17.75,22,"22,380","27,210","29,760","36,920","45,760",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6041,Shoe and Leather Workers and Repairers,detailed,"34,890",2.1,11.23,13.63,15.12,18.32,23.08,"23,360","28,350","31,450","38,100","48,010",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6042,Shoe Machine Operators and Tenders,detailed,"29,920",4.2,10.08,11.27,13.73,16.58,18.29,"20,970","23,440","28,560","34,490","38,030",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6050,"Tailors, Dressmakers, and Sewers",broad,"34,630",1.5,10.65,13.25,14.99,18.23,23.56,"22,150","27,570","31,180","37,920","49,010",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6051,"Sewers, Hand",detailed,"31,350",1.4,10.72,12.66,14.39,17.56,18.59,"22,290","26,330","29,930","36,530","38,660",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,"35,430",1.9,10.61,13.41,15.11,18.59,27.64,"22,070","27,900","31,420","38,660","57,480",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6060,"Textile Machine Setters, Operators, and Tenders",broad,"33,110",0.5,11.4,13.88,14.45,17.78,21.73,"23,710","28,860","30,050","36,990","45,190",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,"31,940",1,11.13,13.63,14.39,17.63,19.43,"23,140","28,350","29,930","36,670","40,420",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,"33,100",0.8,11.06,13.63,14.41,17.86,22.5,"23,010","28,350","29,960","37,150","46,800",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,"33,640",0.7,11.4,13.96,16.34,17.87,21.86,"23,720","29,030","33,990","37,170","45,460",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,"33,050",0.8,12.53,13.95,14.44,17.78,19.39,"26,060","29,020","30,020","36,990","40,340",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"39,050",0.7,11.47,14.24,17.8,22.39,28.13,"23,860","29,630","37,030","46,560","58,500",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,"40,600",1.1,13.96,14.78,18.05,22.81,28.61,"29,030","30,750","37,550","47,440","59,520",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6092,Fabric and Apparel Patternmakers,detailed,"64,070",4,14.19,18.09,28.2,38.24,50.05,"29,500","37,630","58,650","79,540","104,110",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6093,Upholsterers,detailed,"38,220",0.7,11.39,14.3,17.99,22.22,25.09,"23,700","29,750","37,420","46,210","52,190",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,"32,840",1.1,11.06,13.23,14.31,17.83,22.29,"22,990","27,520","29,750","37,080","46,370",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7000,Woodworkers,minor,"37,520",0.3,11.75,14.22,17.64,21.72,23.56,"24,440","29,580","36,680","45,190","49,000",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7010,Cabinetmakers and Bench Carpenters,broad,"40,070",0.5,13.56,14.46,18.05,22.67,28,"28,200","30,070","37,540","47,160","58,250",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,detailed,"40,070",0.5,13.56,14.46,18.05,22.67,28,"28,200","30,070","37,540","47,160","58,250",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7020,Furniture Finishers,broad,"37,310",0.8,12.59,14.23,17.59,21.41,23.43,"26,200","29,610","36,580","44,520","48,730",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7021,Furniture Finishers,detailed,"37,310",0.8,12.59,14.23,17.59,21.41,23.43,"26,200","29,610","36,580","44,520","48,730",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7030,"Model Makers and Patternmakers, Wood",broad,"56,560",3.4,17.5,18.82,27.6,35.15,37.2,"36,410","39,150","57,410","73,110","77,380",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",detailed,"60,040",4.6,17.82,22.55,29.22,36.51,38.38,"37,070","46,910","60,780","75,940","79,830",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7032,"Patternmakers, Wood",detailed,"51,020",4.7,14.46,18.13,22.56,30.14,37.16,"30,070","37,710","46,920","62,680","77,280",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,"35,450",0.3,11.42,14.07,17.23,18.34,22.76,"23,750","29,260","35,850","38,140","47,330",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"35,280",0.5,11.27,14,16.99,18.31,22.75,"23,430","29,120","35,340","38,090","47,320",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"35,560",0.4,11.52,14.13,17.35,18.36,22.76,"23,960","29,390","36,090","38,190","47,330",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7090,Miscellaneous Woodworkers,broad,"36,080",1.2,11.39,14,17.12,19.98,24.03,"23,700","29,120","35,610","41,550","49,990",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,"36,080",1.2,11.39,14,17.12,19.98,24.03,"23,700","29,120","35,610","41,550","49,990",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8000,Plant and System Operators,minor,"66,210",0.3,17.67,22.66,29.49,38.65,48.52,"36,750","47,130","61,350","80,390","100,920",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"89,410",0.4,23.89,36.11,45.57,49.49,60.26,"49,680","75,120","94,790","102,940","125,340",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8011,Nuclear Power Reactor Operators,detailed,"111,220",0.5,38.33,47.3,50.13,61.03,63.92,"79,720","98,390","104,260","126,950","132,960",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8012,Power Distributors and Dispatchers,detailed,"95,520",0.6,29.65,38.11,47.37,52.49,62.45,"61,670","79,270","98,530","109,180","129,900",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,"83,740",0.6,23.37,30.23,38.87,48.24,53.17,"48,610","62,890","80,850","100,340","110,590",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8020,Stationary Engineers and Boiler Operators,broad,"70,510",0.6,21.28,23.93,30.53,38.81,48.41,"44,260","49,760","63,500","80,730","100,690",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8021,Stationary Engineers and Boiler Operators,detailed,"70,510",0.6,21.28,23.93,30.53,38.81,48.41,"44,260","49,760","63,500","80,730","100,690",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8030,Water and Wastewater Treatment Plant and System Operators,broad,"52,320",0.5,14.46,18.14,23.02,29.2,37.1,"30,070","37,720","47,880","60,740","77,170",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,"52,320",0.5,14.46,18.14,23.02,29.2,37.1,"30,070","37,720","47,880","60,740","77,170",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8090,Miscellaneous Plant and System Operators,broad,"72,540",0.5,18.51,27.17,36.86,43.96,48.67,"38,500","56,510","76,670","91,430","101,240",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8091,Chemical Plant and System Operators,detailed,"69,020",1,18.44,23.52,33.75,39.06,48.06,"38,340","48,920","70,200","81,250","99,960",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8092,Gas Plant Operators,detailed,"76,970",1.2,22.82,29.53,37.43,46.25,49.72,"47,470","61,410","77,850","96,200","103,420",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,"80,500",0.5,24.66,30.94,38.24,47.13,48.94,"51,290","64,350","79,540","98,030","101,780",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-8099,"Plant and System Operators, All Other",detailed,"55,480",1.3,14.3,18.31,24.16,32.05,38.59,"29,750","38,070","50,250","66,670","80,270",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9000,Other Production Occupations,minor,"41,820",0.2,13.4,14.46,18.13,22.98,29.16,"27,870","30,070","37,710","47,800","60,650",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,"50,760",0.6,14.43,17.96,22.88,29.28,37.3,"30,010","37,350","47,580","60,910","77,590",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9011,Chemical Equipment Operators and Tenders,detailed,"52,450",0.8,14.51,18.08,23.12,29.66,38.03,"30,180","37,610","48,090","61,690","79,100",,
